===== 市區公車在斗六火車站的人流時段分析 =====

--- 各時段每5分鐘詳細流量 ---

時段: 清晨 (00:00-05:55)
  時間: 13:25 -> 平日(上車:238, 下車:86), 假日(上車:94, 下車:40)
  時間: 13:30 -> 平日(上車:59, 下車:52), 假日(上車:18, 下車:28)
  時間: 13:35 -> 平日(上車:68, 下車:102), 假日(上車:31, 下車:21)
  時間: 13:40 -> 平日(上車:32, 下車:40), 假日(上車:16, 下車:2)
  時間: 13:45 -> 平日(上車:5, 下車:13), 假日(上車:4, 下車:8)
  時間: 13:50 -> 平日(上車:1, 下車:0), 假日(上車:0, 下車:6)
  時間: 14:05 -> 平日(上車:133, 下車:6), 假日(上車:110, 下車:1)
  時間: 14:10 -> 平日(上車:51, 下車:60), 假日(上車:33, 下車:11)
  時間: 14:15 -> 平日(上車:25, 下車:47), 假日(上車:15, 下車:3)
  時間: 14:20 -> 平日(上車:182, 下車:240), 假日(上車:81, 下車:163)
  時間: 14:25 -> 平日(上車:181, 下車:125), 假日(上車:81, 下車:76)
  時間: 14:30 -> 平日(上車:15, 下車:16), 假日(上車:13, 下車:15)
  時間: 14:35 -> 平日(上車:3, 下車:0), 假日(上車:5, 下車:1)
  時間: 14:40 -> 平日(上車:2, 下車:0), 假日(上車:0, 下車:1)
  時間: 14:45 -> 平日(上車:83, 下車:109), 假日(上車:80, 下車:70)
  時間: 14:50 -> 平日(上車:27, 下車:61), 假日(上車:46, 下車:33)
  時間: 14:55 -> 平日(上車:9, 下車:18), 假日(上車:4, 下車:1)
  時間: 15:00 -> 平日(上車:128, 下車:156), 假日(上車:128, 下車:108)
  時間: 15:05 -> 平日(上車:66, 下車:149), 假日(上車:57, 下車:66)
  時間: 15:10 -> 平日(上車:55, 下車:21), 假日(上車:25, 下車:9)
  時間: 15:15 -> 平日(上車:93, 下車:150), 假日(上車:60, 下車:48)
  時間: 15:20 -> 平日(上車:51, 下車:42), 假日(上車:33, 下車:6)
  時間: 15:25 -> 平日(上車:123, 下車:80), 假日(上車:241, 下車:58)
  時間: 15:30 -> 平日(上車:46, 下車:33), 假日(上車:43, 下車:17)
  時間: 15:35 -> 平日(上車:39, 下車:1), 假日(上車:63, 下車:3)
  時間: 15:40 -> 平日(上車:6, 下車:0), 假日(上車:9, 下車:0)
  時間: 15:50 -> 平日(上車:0, 下車:2), 假日(上車:0, 下車:0)
  時間: 15:55 -> 平日(上車:1, 下車:27), 假日(上車:2, 下車:4)
  時間: 16:00 -> 平日(上車:7, 下車:319), 假日(上車:14, 下車:61)
  時間: 16:05 -> 平日(上車:125, 下車:242), 假日(上車:69, 下車:32)
  時間: 16:10 -> 平日(上車:105, 下車:111), 假日(上車:42, 下車:10)
  時間: 16:15 -> 平日(上車:36, 下車:31), 假日(上車:8, 下車:1)
  時間: 16:20 -> 平日(上車:82, 下車:32), 假日(上車:162, 下車:0)
  時間: 16:25 -> 平日(上車:106, 下車:201), 假日(上車:152, 下車:158)
  時間: 16:30 -> 平日(上車:99, 下車:167), 假日(上車:107, 下車:97)
  時間: 16:35 -> 平日(上車:30, 下車:239), 假日(上車:16, 下車:102)
  時間: 16:40 -> 平日(上車:7, 下車:117), 假日(上車:0, 下車:18)
  時間: 16:45 -> 平日(上車:113, 下車:136), 假日(上車:67, 下車:32)
  時間: 16:50 -> 平日(上車:200, 下車:143), 假日(上車:72, 下車:73)
  時間: 16:55 -> 平日(上車:6, 下車:5), 假日(上車:8, 下車:5)
  時間: 17:00 -> 平日(上車:92, 下車:119), 假日(上車:160, 下車:97)
  時間: 17:05 -> 平日(上車:176, 下車:569), 假日(上車:176, 下車:123)
  時間: 17:10 -> 平日(上車:215, 下車:322), 假日(上車:56, 下車:64)
  時間: 17:15 -> 平日(上車:248, 下車:127), 假日(上車:17, 下車:4)
  時間: 17:20 -> 平日(上車:54, 下車:119), 假日(上車:8, 下車:25)
  時間: 17:25 -> 平日(上車:114, 下車:162), 假日(上車:159, 下車:49)
  時間: 17:30 -> 平日(上車:179, 下車:486), 假日(上車:140, 下車:33)
  時間: 17:35 -> 平日(上車:89, 下車:1023), 假日(上車:23, 下車:11)
  時間: 17:40 -> 平日(上車:35, 下車:255), 假日(上車:0, 下車:1)
  時間: 17:45 -> 平日(上車:27, 下車:60), 假日(上車:31, 下車:75)
  時間: 17:50 -> 平日(上車:209, 下車:196), 假日(上車:44, 下車:17)
  時間: 17:55 -> 平日(上車:147, 下車:153), 假日(上車:5, 下車:4)

時段: 傍晚至午夜 (18:00-23:55)
  時間: 18:00 -> 平日(上車:86, 下車:112), 假日(上車:178, 下車:75)
  時間: 18:05 -> 平日(上車:262, 下車:399), 假日(上車:312, 下車:56)
  時間: 18:10 -> 平日(上車:116, 下車:243), 假日(上車:69, 下車:51)
  時間: 18:15 -> 平日(上車:160, 下車:126), 假日(上車:31, 下車:38)
  時間: 18:20 -> 平日(上車:20, 下車:27), 假日(上車:7, 下車:10)
  時間: 18:25 -> 平日(上車:46, 下車:92), 假日(上車:69, 下車:75)
  時間: 18:30 -> 平日(上車:69, 下車:98), 假日(上車:129, 下車:61)
  時間: 18:35 -> 平日(上車:34, 下車:332), 假日(上車:61, 下車:60)
  時間: 18:40 -> 平日(上車:6, 下車:136), 假日(上車:3, 下車:26)
  時間: 18:45 -> 平日(上車:106, 下車:145), 假日(上車:68, 下車:31)
  時間: 18:50 -> 平日(上車:70, 下車:86), 假日(上車:46, 下車:13)
  時間: 18:55 -> 平日(上車:14, 下車:36), 假日(上車:7, 下車:4)
  時間: 19:00 -> 平日(上車:60, 下車:156), 假日(上車:193, 下車:54)
  時間: 19:05 -> 平日(上車:108, 下車:161), 假日(上車:119, 下車:28)
  時間: 19:10 -> 平日(上車:83, 下車:144), 假日(上車:111, 下車:35)
  時間: 19:15 -> 平日(上車:89, 下車:90), 假日(上車:12, 下車:20)
  時間: 19:20 -> 平日(上車:35, 下車:31), 假日(上車:1, 下車:4)
  時間: 19:25 -> 平日(上車:98, 下車:39), 假日(上車:101, 下車:19)
  時間: 19:30 -> 平日(上車:124, 下車:39), 假日(上車:204, 下車:33)
  時間: 19:35 -> 平日(上車:31, 下車:12), 假日(上車:97, 下車:8)
  時間: 19:40 -> 平日(上車:4, 下車:0), 假日(上車:0, 下車:0)
  時間: 19:45 -> 平日(上車:81, 下車:111), 假日(上車:40, 下車:23)
  時間: 19:50 -> 平日(上車:35, 下車:31), 假日(上車:16, 下車:2)
  時間: 19:55 -> 平日(上車:49, 下車:44), 假日(上車:53, 下車:30)
  時間: 20:00 -> 平日(上車:80, 下車:32), 假日(上車:177, 下車:32)
  時間: 20:05 -> 平日(上車:25, 下車:17), 假日(上車:98, 下車:7)
  時間: 20:10 -> 平日(上車:45, 下車:33), 假日(上車:39, 下車:23)
  時間: 20:15 -> 平日(上車:24, 下車:14), 假日(上車:15, 下車:12)
  時間: 20:20 -> 平日(上車:28, 下車:17), 假日(上車:28, 下車:19)
  時間: 20:25 -> 平日(上車:110, 下車:61), 假日(上車:264, 下車:48)
  時間: 20:30 -> 平日(上車:46, 下車:12), 假日(上車:129, 下車:19)
  時間: 20:35 -> 平日(上車:5, 下車:2), 假日(上車:12, 下車:0)
  時間: 20:40 -> 平日(上車:6, 下車:0), 假日(上車:4, 下車:0)
  時間: 20:45 -> 平日(上車:88, 下車:63), 假日(上車:52, 下車:27)
  時間: 20:50 -> 平日(上車:5, 下車:3), 假日(上車:0, 下車:1)
  時間: 20:55 -> 平日(上車:12, 下車:8), 假日(上車:75, 下車:10)
  時間: 21:00 -> 平日(上車:121, 下車:69), 假日(上車:313, 下車:30)
  時間: 21:05 -> 平日(上車:34, 下車:12), 假日(上車:81, 下車:2)
  時間: 21:10 -> 平日(上車:135, 下車:33), 假日(上車:31, 下車:14)
  時間: 21:15 -> 平日(上車:10, 下車:2), 假日(上車:2, 下車:0)
  時間: 21:20 -> 平日(上車:30, 下車:11), 假日(上車:30, 下車:2)
  時間: 21:25 -> 平日(上車:108, 下車:69), 假日(上車:171, 下車:24)
  時間: 21:30 -> 平日(上車:34, 下車:23), 假日(上車:111, 下車:10)
  時間: 21:35 -> 平日(上車:0, 下車:0), 假日(上車:2, 下車:0)
  時間: 21:40 -> 平日(上車:3, 下車:1), 假日(上車:1, 下車:0)
  時間: 21:45 -> 平日(上車:79, 下車:55), 假日(上車:15, 下車:8)
  時間: 21:50 -> 平日(上車:9, 下車:8), 假日(上車:4, 下車:1)
  時間: 21:55 -> 平日(上車:25, 下車:16), 假日(上車:97, 下車:16)
  時間: 22:00 -> 平日(上車:136, 下車:51), 假日(上車:305, 下車:13)
  時間: 22:05 -> 平日(上車:19, 下車:11), 假日(上車:32, 下車:0)
  時間: 22:10 -> 平日(上車:16, 下車:12), 假日(上車:16, 下車:8)
  時間: 22:15 -> 平日(上車:3, 下車:0), 假日(上車:0, 下車:0)
  時間: 22:20 -> 平日(上車:45, 下車:29), 假日(上車:72, 下車:19)
  時間: 22:25 -> 平日(上車:32, 下車:25), 假日(上車:132, 下車:27)
  時間: 22:30 -> 平日(上車:10, 下車:6), 假日(上車:18, 下車:1)
  時間: 22:45 -> 平日(上車:33, 下車:13), 假日(上車:7, 下車:6)
  時間: 22:55 -> 平日(上車:40, 下車:12), 假日(上車:14, 下車:3)
  時間: 23:00 -> 平日(上車:49, 下車:32), 假日(上車:119, 下車:23)
  時間: 23:05 -> 平日(上車:3, 下車:0), 假日(上車:11, 下車:1)
  時間: 23:20 -> 平日(上車:24, 下車:10), 假日(上車:23, 下車:7)
  時間: 23:25 -> 平日(上車:16, 下車:6), 假日(上車:37, 下車:8)
  時間: 23:30 -> 平日(上車:8, 下車:9), 假日(上車:6, 下車:4)
  時間: 23:35 -> 平日(上車:14, 下車:0), 假日(上車:0, 下車:0)
  時間: 23:40 -> 平日(上車:0, 下車:2), 假日(上車:0, 下車:0)

================= 分析結束 =================
